output_0_0,output_0_1,output_0_2,output_0_3,output_1_0,output_1_1,output_1_2,output_1_3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
80,81,82,83,90,91,92,93
84,85,86,87,94,95,96,97
88,89,90,91,98,99,0,0
0,1,2,3,10,11,12,13
4,1,2,3,14,11,12,13
4,5,2,3,14,15,12,13
4,5,6,3,14,15,16,13
4,5,6,7,14,15,16,17
8,5,6,7,18,15,16,17
8,9,6,7,18,19,16,17
23,20,21,22,10,11,12,13
23,24,21,22,14,11,12,13
23,24,25,22,14,15,12,13
23,24,25,26,14,15,16,13
27,24,25,26,14,15,16,17
27,28,25,26,18,15,16,17
27,28,29,26,18,19,16,17
23,20,21,22,33,30,31,32
23,24,21,22,33,34,31,32
23,24,25,22,33,34,35,32
23,24,25,26,33,34,35,36
27,24,25,26,37,34,35,36
27,28,25,26,37,38,35,36
27,28,29,26,37,38,39,36
42,43,40,41,33,30,31,32
42,43,44,41,33,34,31,32
42,43,44,45,33,34,35,32
46,43,44,45,33,34,35,36
46,47,44,45,37,34,35,36
46,47,48,45,37,38,35,36
46,47,48,49,37,38,39,36
42,43,40,41,52,53,50,51
42,43,44,41,52,53,54,51
42,43,44,45,52,53,54,55
46,43,44,45,56,53,54,55
46,47,44,45,56,57,54,55
46,47,48,45,56,57,58,55
46,47,48,49,56,57,58,59
61,62,63,60,52,53,50,51
61,62,63,64,52,53,54,51
65,62,63,64,52,53,54,55
65,66,63,64,56,53,54,55
65,66,67,64,56,57,54,55
65,66,67,68,56,57,58,55
69,66,67,68,56,57,58,59
61,62,63,60,71,72,73,70
61,62,63,64,71,72,73,74
65,62,63,64,75,72,73,74
65,66,63,64,75,76,73,74
65,66,67,64,75,76,77,74
65,66,67,68,75,76,77,78
69,66,67,68,79,76,77,78
80,81,82,83,71,72,73,70
84,81,82,83,71,72,73,74
84,85,82,83,75,72,73,74
84,85,86,83,75,76,73,74
84,85,86,87,75,76,77,74
88,85,86,87,75,76,77,78
88,89,86,87,79,76,77,78
80,81,82,83,90,91,92,93
84,81,82,83,94,91,92,93
84,85,82,83,94,95,92,93
84,85,86,83,94,95,96,93
84,85,86,87,94,95,96,97
88,85,86,87,98,95,96,97
88,89,86,87,98,99,96,97
0,20,40,60,10,30,50,70
61,1,21,41,71,11,31,51
42,62,2,22,52,72,12,32
23,43,63,3,33,53,73,13
4,24,44,64,14,34,54,74
65,5,25,45,75,15,35,55
46,66,6,26,56,76,16,36
27,47,67,7,37,57,77,17
8,28,48,68,18,38,58,78
69,9,29,49,79,19,39,59
80,20,40,60,10,30,50,70
61,81,21,41,71,11,31,51
42,62,82,22,52,72,12,32
23,43,63,83,33,53,73,13
84,24,44,64,14,34,54,74
65,85,25,45,75,15,35,55
46,66,86,26,56,76,16,36
27,47,67,87,37,57,77,17
88,28,48,68,18,38,58,78
69,89,29,49,79,19,39,59
80,20,40,60,90,30,50,70
61,81,21,41,71,91,31,51
42,62,82,22,52,72,92,32
23,43,63,83,33,53,73,93
84,24,44,64,94,34,54,74
65,85,25,45,75,95,35,55
46,66,86,26,56,76,96,36
27,47,67,87,37,57,77,97
88,28,48,68,98,38,58,78
69,89,29,49,79,99,39,59
0,66,44,22,33,11,77,55
23,1,67,45,56,34,12,78
46,24,2,68,79,57,35,13
65,43,21,87,10,76,54,32
88,66,44,22,33,11,77,55
23,89,67,45,56,34,12,78
42,20,86,64,75,53,31,97
65,43,21,87,98,76,54,32
88,66,44,22,33,99,77,55
61,43,25,7,52,34,16,70
8,62,44,26,71,53,35,17
27,9,63,45,18,72,54,36
80,62,44,26,71,53,35,17
27,81,63,45,18,72,54,36
46,28,82,64,37,19,73,55
27,81,63,45,90,72,54,36
46,28,82,64,37,91,73,55
65,47,29,83,56,38,92,74
